X0,IMDB,Runtime,RottenTomato
1,5.9,7,0.77
1,5,11,0.14
1,8.2,13,1
1,5.3,15,1
1,7,15,0.97
1,6.5,17,0.92
1,5.9,21,0.88
1,6.6,21,0.73
1,5.1,22,0.91
1,5.5,22,0.57
1,6.4,22,0.36
1,6.6,22,0.17
1,7.7,22,0.8
1,7.8,23,0.82
1,5,24,0.5
1,5.6,24,0.11
1,5.6,24,0.49
1,5.4,25,0.73
1,7.4,26,0.83
1,8,26,1
1,7.2,28,0.66
1,3.5,29,0.19
1,4,30,0.14
1,4.5,30,0.5
1,5,30,0.48
1,5.6,30,0.5
1,5.8,30,0.71
1,5.8,30,0.8
1,6.1,30,0.84
1,6.2,30,0.78
1,6.3,30,0.43
1,6.4,30,0.2
1,6.4,30,0.57
1,6.5,30,0.6
1,6.5,30,0.7
1,6.5,30,1
1,6.5,30,1
1,7,30,1
1,7.1,30,0.78
1,7.1,30,0.89
1,7.1,30,1
1,7.3,30,0.88
1,7.4,30,0.83
1,7.4,30,0.97
1,7.6,30,1
1,6.1,32,0.8
1,6.9,32,0.87
1,6.8,39,1
1,7.3,39,1
1,7.4,39,0.8
1,6.1,40,0.58
1,6.7,40,0.9
1,6.8,40,1
1,6.9,40,1
1,7.2,40,0.7
1,7.7,40,0.86
1,7.5,41,1
1,5.1,42,0.53
1,6.1,42,1
1,6.2,42,0.17
1,6.2,42,0.8
1,6.2,42,0.83
1,6.4,42,1
1,6.5,42,0.8
1,7.2,42,0.88
1,7.2,42,0.94
1,7.5,42,0.83
1,5.1,43,0.5
1,7,43,1
1,6.2,44,0.46
1,6.6,44,1
1,6.7,44,0.56
1,7.3,44,0.73
1,5.4,45,0.9
1,6.2,45,0.71
1,7,45,0.91
1,7.1,45,0.68
1,5.8,47,0.74
1,8.3,48,1
1,5.9,49,0.4
1,5.6,50,0.45
1,7.4,50,0.91
1,6.7,51,0.58
1,5.5,52,1
1,5.9,52,0.58
1,6.8,52,0.9
1,7.4,52,0.63
1,7.7,52,0.96
1,5.7,53,0.48
1,6.6,53,0.8
1,6.7,54,1
1,5.7,55,0.67
1,6.7,55,0.76
1,7.1,55,0.92
1,5.5,56,0.71
1,7.2,56,0.2
1,6.6,57,0.92
1,7,57,1
1,4,58,0.4
1,6.9,58,1
1,7.1,59,1
1,3.4,60,0.8
1,4.4,60,0.19
1,4.6,60,0.45
1,5.3,60,0.5
1,5.3,60,0.64
1,5.5,60,0.88
1,5.9,60,0.4
1,6,60,0.21
1,6.2,60,0.2
1,6.3,60,0.15
1,6.3,60,0.33
1,6.3,60,0.75
1,6.4,60,0.75
1,6.4,60,1
1,6.6,60,0.76
1,6.6,60,1
1,6.9,60,0.73
1,6.9,60,0.75
1,6.9,60,0.9
1,7.1,60,0.8
1,7.1,60,0.94
1,7.1,60,1
1,7.2,60,1
1,7.3,60,1
1,7.4,60,0.75
1,7.4,60,0.86
1,7.5,60,0.79
1,7.6,60,0.81
1,7.6,60,0.89
1,7.6,60,1
1,7.8,60,0.95
1,7.9,60,0.94
1,7.9,60,0.97
1,5.2,61,0.2
1,5.3,61,0.4
1,6.8,61,1
1,7.3,61,0.82
1,7.5,61,1
1,3.7,62,0.7
1,4.9,62,0.67
1,5.5,62,0.8
1,6,62,1
1,6.8,62,0.67
1,4.7,63,0.45
1,7.1,63,1
1,3.9,64,0.33
1,6.3,64,0.75
1,6.5,64,1
1,7,64,0.8
1,7.4,64,1
1,4.2,65,0.35
1,5.2,65,0.43
1,5.7,65,0.6
1,7.8,65,0.88
1,7.9,65,1
1,8.5,65,0.35
1,3.8,66,0.39
1,5.1,66,1
1,5.8,66,1
1,6.7,66,0.77
1,7.2,66,0.4
1,7.2,66,1
1,7.8,66,0.99
1,5.8,67,0.8
1,6.4,67,0.87
1,7.4,67,0.82
1,7.5,67,0.6
1,8.1,67,0.93
1,8.2,67,0.86
1,4.6,68,0.44
1,4.7,68,0.3
1,5.5,68,0.58
1,6.3,68,0.4
1,6.4,68,0.36
1,6.4,68,0.8
1,6.5,68,0.92
1,6.7,68,1
1,7,68,0.93
1,7.5,68,1
1,4,69,0.5
1,4.2,69,0.45
1,5.3,69,0.2
1,5.9,69,0.33
1,5.9,69,0.45
1,6,69,0.92
1,6.3,69,0.86
1,6.9,69,0.83
1,8.2,69,0.83
1,8.2,69,1
1,4.2,70,0.4
1,4.4,70,0.4
1,5.8,70,0.3
1,7,70,0.95
1,7,70,1
1,7.2,70,0.8
1,7.2,70,0.88
1,7.3,70,0.9
1,7.5,70,1
1,7.9,70,1
1,7.9,70,1
1,8.2,70,1
1,3.5,71,0.29
1,4.5,71,0.75
1,5.2,71,0.75
1,6.3,71,0.75
1,6.6,71,0.55
1,6.6,71,0.8
1,6.7,71,1
1,6.8,71,0.8
1,6.9,71,0.96
1,7.1,71,0.91
1,7.5,71,0.96
1,7.5,71,1
1,4,72,0.17
1,4.9,72,0.29
1,5.4,72,0.19
1,5.6,72,0.33
1,5.8,72,0.45
1,6.1,72,0.13
1,6.4,72,0.71
1,6.5,72,0.7
1,6.6,72,0.78
1,6.6,72,0.91
1,6.7,72,0.97
1,7.7,72,1
1,5,73,0.11
1,5.1,73,0.54
1,5.2,73,0.55
1,5.5,73,0.5
1,5.5,73,0.6
1,5.6,73,0.5
1,5.7,73,0.4
1,5.7,73,0.83
1,6.2,73,0.4
1,6.4,73,0.58
1,6.5,73,0.63
